========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
-1337.07000000,39.2,38.98359781,0.21640219,"[-1336.11000000, -1330.07000000, -1340.60000000, -1335.27000000, -1342.39000000, -1337.98000000]"
-1670.03333333,49.0,48.67602801,0.32397199,"[-1665.42000000, -1670.96000000, -1673.72000000]"
-339.64966667,9.8,9.94908860,-0.14908860,"[-342.92400000, -329.42200000, -345.26600000, -335.06300000, -348.13500000, -337.08800000]"
总计,-0.00000000,,,
SUMPRODUCT,-1682483.11980000,,,
MAX(ABS(差值))/50,0.32397199,,0.00647944,
a,-0.02910960,,,
b,0.06202190,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
========== 第一矩阵 (解耦矩阵) ==========,,,,,,,,
,UFx,UFy,UFz,UMx,UMy,UMz,,
Fx,-1.61789025,-0.03992898,0.04485908,2.69434875,-81.83221729,2.55236575,,
Fy,0.01287160,-1.60276942,0.08431096,81.52002761,1.18925179,0.20643477,,
Fz,-0.02979315,-0.00531115,-1.03936788,-2.74945754,0.81433085,-0.03879530,,
Mx,-0.00463835,-0.74052278,0.08947518,83.96231693,0.67783677,0.38803289,,
My,0.74426591,0.00203085,-0.03182461,-1.10847937,82.47413886,-2.63717437,,
Mz,-0.02162008,-0.01818879,-0.03228765,0.16223478,-0.99606113,-34.35013025,,
,,,,,,,,
,,,,,,,,
========== 第二矩阵 ==========,,,,,,,,
,UFx,UFy,UFz,UMx,UMy,UMz,,
Fx,-1.13642099,0.03105773,-0.01284087,-0.00900071,-1.12779587,0.00224306,,
Fy,-0.01635876,-1.13128833,0.00223761,1.09885227,-0.00891057,0.00508039,,
Fz,0.04158748,0.03106619,-0.96473102,-0.06241666,0.05085142,-0.00024271,,
Mx,-0.00033615,-0.01000850,0.00104454,0.02166715,-0.00037534,0.00018727,,
My,0.01027958,-0.00035853,-0.00021283,0.00030773,0.02231787,-0.00094804,,
Mz,0.00038517,0.00051341,0.00092481,-0.00042411,0.00001783,-0.02908747,,
,,,,,,,,
,,,,,,,,
